"","CCLO","COMBINED1","Information.Content","Automation.Routinization","No.Face.to.Face","No.On.Site.Work","No.Decision.Making","Population","COMBINED1.Title"
"1",12,1,1.21953775277875,-0.603504887021828,-0.754579794740269,1.02126191956376,-1.19515044281815,2805437,"Other managers"
"2",11,2,0.569230603566718,-1.4346344376901,-0.953414078165344,0.84655214569647,-2.09315017588644,104869,"Managers - CEOs, GMs, Legislators"
"3",3,3,1.32490628825085,-1.03424225655514,-2.00890074866823,0.339430818741328,-0.838186704614232,527413,"Health professionals"
"4",4,3,1.32490628825085,-1.03424225655514,-2.00890074866823,0.339430818741328,-0.838186704614232,527413,"Health professionals"
"5",5,3,1.32490628825085,-1.03424225655514,-2.00890074866823,0.339430818741328,-0.838186704614232,527413,"Health professionals"
"6",10,4,1.43461405299285,-0.640598376887646,-0.402728544141866,1.08224781648443,-0.805592046835691,2692854,"Professionals NFD"
"7",6,5,0.766354160967138,-1.81628193331714,-1.18886704870912,1.25291486805602,-0.867828141036844,486969,"Teachers"
"8",7,6,1.37694009715267,-1.98300174436701,-1.41563994200008,1.599110190874,-1.18394032649317,184467,"Legal Professionals"
"9",23,7,1.49659334302169,-0.464211511784589,0.2766048087876,0.2167713603889,-1.02933139979203,369450,"Designers, Engineers, Scientists, Transport Professionals"
"10",1,7,1.49659334302169,-0.464211511784589,0.2766048087876,0.2167713603889,-1.02933139979203,369450,"Designers, Engineers, Scientists, Transport Professionals"
"11",2,7,1.49659334302169,-0.464211511784589,0.2766048087876,0.2167713603889,-1.02933139979203,369450,"Designers, Engineers, Scientists, Transport Professionals"
"12",37,7,1.49659334302169,-0.464211511784589,0.2766048087876,0.2167713603889,-1.02933139979203,369450,"Designers, Engineers, Scientists, Transport Professionals"
"13",9,8,-0.0507510390561352,0.538255936634055,0.724682766084744,-0.934904865491532,0.102665685370691,1865408,"Technicians"
"14",24,9,-0.586245492996611,0.445387743073436,0.801560273364901,-1.28649819771893,0.765109910230684,319272,"Road transport & railway workers"
"15",28,9,-0.586245492996611,0.445387743073436,0.801560273364901,-1.28649819771893,0.765109910230684,319272,"Road transport & railway workers"
"16",29,9,-0.586245492996611,0.445387743073436,0.801560273364901,-1.28649819771893,0.765109910230684,319272,"Road transport & railway workers"
"17",30,9,-0.586245492996611,0.445387743073436,0.801560273364901,-1.28649819771893,0.765109910230684,319272,"Road transport & railway workers"
"18",32,9,-0.586245492996611,0.445387743073436,0.801560273364901,-1.28649819771893,0.765109910230684,319272,"Road transport & railway workers"
"19",31,10,0.424187017402416,0.781858953930193,0.114467504932458,-1.58784111877831,-0.0261031456748746,162341,"Electrotechnology and Telecommunications trades workers"
